COMPARAÇÃO DE ITENS (RELATÓRIO x ORÇAMENTO)
Data/Hora: 2026-01-30 07:56:03
Relatório: C:/Users/thiag/Desktop/000 - Minha Demanda/1 - Aguardando Correção/ITANHANDU - 0649 - Aguardando correção/- Envio portal/RELATÓRIO FOTOGRÁFICO - ITANHANDU - LEVANTAMENTO PREVENTIVO.docx
Orçamento: C:/Users/thiag/Desktop/000 - Minha Demanda/1 - Aguardando Correção/ITANHANDU - 0649 - Aguardando correção/- Envio portal/- Final/PREVISÃO ORÇAMENTÁRIA PARA APROVAÇÃO - ITANHANDU - LEVANTAMENTO PREVENTIVO.xlsx

RESUMO
- Total de linhas comparadas: 30
- Compatíveis: 27
- Divergentes: 1
- Só no orçamento (não citado no relatório): 2
- Só no relatório (não previsto no orçamento): 0

DETALHAMENTO
Item	QtdRelatorio	QtdOrcamento	Diferenca	Status
1.2		320,00		Não citado no relatório
1.5		2,00		Não citado no relatório
2.8	1,27	1,27	0,00	Compatível
2.12	2,10	2,10	0,00	Compatível
2.14	6,07	6,07	0,00	Compatível
2.18	0,90	0,90	0,00	Compatível
2.33	7,59	7,59	0,00	Compatível
11.2	138,09	138,09	0,00	Compatível
11.3	138,09	138,09	0,00	Compatível
11.4	7,59	7,59	0,00	Compatível
12.9	1,27	1,27	0,00	Compatível
13.5	2,00	2,00	0,00	Compatível
13.9	2,00	2,00	0,00	Compatível
13.12	22,00	22,00	0,00	Compatível
13.20	1,00	1,00	0,00	Compatível
17.2	3,45	3,45	0,00	Compatível
17.6	7,94	7,94	0,00	Compatível
17.7	11,34	11,34	0,00	Compatível
17.10	363,56	363,56	0,00	Compatível
17.11	274,00	235,00	39,00	Divergente
19.7	1,00	1,00	0,00	Compatível
19.8	2,00	2,00	0,00	Compatível
20.20	1,00	1,00	0,00	Compatível
22.7	1,00	1,00	0,00	Compatível
28.5	2,00	2,00	0,00	Compatível
28.20	1,00	1,00	0,00	Compatível
28.31	1,00	1,00	0,00	Compatível
29.6	21,00	21,00	0,00	Compatível
29.11	30,22	30,22	0,00	Compatível
29.24	3,02	3,02	0,00	Compatível
